lakeid,year,metric,daynum,sampledate
FI,1996,chlor_all,220,1996-08-07
FI,1996,chlor_spring,162,1996-06-10
FI,1996,chlor_fall,220,1996-08-07
FI,1997,chlor_all,175,1997-06-24
FI,1997,chlor_spring,175,1997-06-24
FI,1997,chlor_fall,217,1997-08-05
FI,1998,chlor_all,203,1998-07-22
FI,1998,chlor_spring,175,1998-06-24
FI,1998,chlor_fall,203,1998-07-22
FI,1999,chlor_all,215,1999-08-03
FI,1999,chlor_spring,160,1999-06-09
FI,1999,chlor_fall,215,1999-08-03
FI,2000,chlor_all,227,2000-08-14
FI,2000,chlor_spring,173,2000-06-21
FI,2000,chlor_fall,227,2000-08-14
FI,2001,chlor_all,213,2001-08-01
FI,2001,chlor_spring,170,2001-06-19
FI,2001,chlor_fall,213,2001-08-01
FI,2002,chlor_all,198,2002-07-17
FI,2002,chlor_spring,168,2002-06-17
FI,2002,chlor_fall,198,2002-07-17
FI,2003,chlor_all,231,2003-08-19
FI,2003,chlor_spring,175,2003-06-24
FI,2003,chlor_fall,231,2003-08-19
FI,2004,chlor_all,203,2004-07-21
FI,2004,chlor_spring,161,2004-06-09
FI,2004,chlor_fall,203,2004-07-21
FI,2005,chlor_all,203,2005-07-22
FI,2005,chlor_spring,174,2005-06-23
FI,2005,chlor_fall,203,2005-07-22
FI,2006,chlor_all,208,2006-07-27
FI,2006,chlor_spring,153,2006-06-02
FI,2006,chlor_fall,208,2006-07-27
FI,2007,chlor_all,191,2007-07-10
FI,2007,chlor_spring,163,2007-06-12
FI,2007,chlor_fall,191,2007-07-10
FI,2008,chlor_all,205,2008-07-23
FI,2008,chlor_spring,165,2008-06-13
FI,2008,chlor_fall,205,2008-07-23
FI,2009,chlor_all,175,2009-06-24
FI,2009,chlor_spring,175,2009-06-24
FI,2009,chlor_fall,218,2009-08-06
FI,2010,chlor_all,218,2010-08-06
FI,2010,chlor_spring,174,2010-06-23
FI,2010,chlor_fall,218,2010-08-06
FI,2011,chlor_all,200,2011-07-19
FI,2011,chlor_spring,167,2011-06-16
FI,2011,chlor_fall,200,2011-07-19
FI,2012,chlor_all,191,2012-07-09
FI,2012,chlor_spring,166,2012-06-14
FI,2012,chlor_fall,191,2012-07-09
FI,2013,chlor_all,191,2013-07-10
FI,2013,chlor_spring,164,2013-06-13
FI,2013,chlor_fall,191,2013-07-10
FI,2014,chlor_all,176,2014-06-25
FI,2014,chlor_spring,149,2014-05-29
FI,2014,chlor_fall,176,2014-06-25
FI,2015,chlor_all,230,2015-08-18
FI,2015,chlor_spring,161,2015-06-10
FI,2015,chlor_fall,230,2015-08-18
FI,2016,chlor_all,228,2016-08-15
FI,2016,chlor_spring,174,2016-06-22
FI,2016,chlor_fall,228,2016-08-15
FI,2017,chlor_all,194,2017-07-13
FI,2017,chlor_spring,166,2017-06-15
FI,2017,chlor_fall,194,2017-07-13
FI,2018,chlor_all,193,2018-07-12
FI,2018,chlor_spring,152,2018-06-01
FI,2018,chlor_fall,193,2018-07-12
FI,2019,chlor_all,220,2019-08-08
FI,2019,chlor_spring,164,2019-06-13
FI,2019,chlor_fall,220,2019-08-08
FI,2020,chlor_all,280,2020-10-06
FI,2020,chlor_spring,64,2020-03-04
FI,2020,chlor_fall,280,2020-10-06
ME,1995,chlor_all,172,1995-06-21
ME,1995,chlor_spring,172,1995-06-21
ME,1995,chlor_fall,242,1995-08-30
ME,1996,chlor_all,100,1996-04-09
ME,1996,chlor_spring,100,1996-04-09
ME,1996,chlor_fall,204,1996-07-22
ME,1997,chlor_all,245,1997-09-02
ME,1997,chlor_spring,99,1997-04-09
ME,1997,chlor_fall,245,1997-09-02
ME,1998,chlor_all,173,1998-06-22
ME,1998,chlor_spring,173,1998-06-22
ME,1998,chlor_fall,214,1998-08-02
ME,1999,chlor_all,172,1999-06-21
ME,1999,chlor_spring,172,1999-06-21
ME,1999,chlor_fall,187,1999-07-06
ME,2000,chlor_all,199,2000-07-17
ME,2000,chlor_spring,171,2000-06-19
ME,2000,chlor_fall,199,2000-07-17
ME,2001,chlor_all,197,2001-07-16
ME,2001,chlor_spring,100,2001-04-10
ME,2001,chlor_fall,197,2001-07-16
ME,2002,chlor_all,98,2002-04-08
ME,2002,chlor_spring,98,2002-04-08
ME,2002,chlor_fall,196,2002-07-15
ME,2003,chlor_all,21,2003-01-21
ME,2003,chlor_spring,21,2003-01-21
ME,2003,chlor_fall,216,2003-08-04
ME,2004,chlor_all,103,2004-04-12
ME,2004,chlor_spring,103,2004-04-12
ME,2004,chlor_fall,201,2004-07-19
ME,2005,chlor_all,199,2005-07-18
ME,2005,chlor_spring,171,2005-06-20
ME,2005,chlor_fall,199,2005-07-18
ME,2006,chlor_all,191,2006-07-10
ME,2006,chlor_spring,107,2006-04-17
ME,2006,chlor_fall,191,2006-07-10
ME,2007,chlor_all,176,2007-06-25
ME,2007,chlor_spring,120,2007-04-30
ME,2007,chlor_fall,176,2007-06-25
ME,2008,chlor_all,175,2008-06-23
ME,2008,chlor_spring,175,2008-06-23
ME,2008,chlor_fall,189,2008-07-07
ME,2009,chlor_all,187,2009-07-06
ME,2009,chlor_spring,21,2009-01-21
ME,2009,chlor_fall,187,2009-07-06
ME,2010,chlor_all,158,2010-06-07
ME,2010,chlor_spring,158,2010-06-07
ME,2010,chlor_fall,200,2010-07-19
ME,2011,chlor_all,192,2011-07-11
ME,2011,chlor_spring,108,2011-04-18
ME,2011,chlor_fall,192,2011-07-11
ME,2012,chlor_all,81,2012-03-21
ME,2012,chlor_spring,81,2012-03-21
ME,2012,chlor_fall,177,2012-06-25
ME,2013,chlor_all,119,2013-04-29
ME,2013,chlor_spring,119,2013-04-29
ME,2013,chlor_fall,336,2013-12-02
ME,2014,chlor_all,148,2014-05-28
ME,2014,chlor_spring,148,2014-05-28
ME,2014,chlor_fall,216,2014-08-04
ME,2015,chlor_all,121,2015-05-01
ME,2015,chlor_spring,121,2015-05-01
ME,2015,chlor_fall,201,2015-07-20
ME,2016,chlor_all,116,2016-04-25
ME,2016,chlor_spring,116,2016-04-25
ME,2016,chlor_fall,187,2016-07-05
ME,2017,chlor_all,191,2017-07-10
ME,2017,chlor_spring,37,2017-02-06
ME,2017,chlor_fall,191,2017-07-10
ME,2018,chlor_all,127,2018-05-07
ME,2018,chlor_spring,127,2018-05-07
ME,2018,chlor_fall,190,2018-07-09
ME,2019,chlor_all,217,2019-08-05
ME,2019,chlor_spring,119,2019-04-29
ME,2019,chlor_fall,217,2019-08-05
ME,2020,chlor_all,43,2020-02-12
ME,2020,chlor_spring,43,2020-02-12
ME,2020,chlor_fall,190,2020-07-08
MO,1995,chlor_all,172,1995-06-21
MO,1995,chlor_spring,172,1995-06-21
MO,1995,chlor_fall,326,1995-11-22
MO,1996,chlor_all,191,1996-07-09
MO,1996,chlor_spring,94,1996-04-03
MO,1996,chlor_fall,191,1996-07-09
MO,1997,chlor_all,205,1997-07-24
MO,1997,chlor_spring,162,1997-06-11
MO,1997,chlor_fall,205,1997-07-24
MO,1998,chlor_all,173,1998-06-22
MO,1998,chlor_spring,173,1998-06-22
MO,1998,chlor_fall,214,1998-08-02
MO,1999,chlor_all,200,1999-07-19
MO,1999,chlor_spring,172,1999-06-21
MO,1999,chlor_fall,200,1999-07-19
MO,2000,chlor_all,199,2000-07-17
MO,2000,chlor_spring,89,2000-03-29
MO,2000,chlor_fall,199,2000-07-17
MO,2001,chlor_all,198,2001-07-17
MO,2001,chlor_spring,99,2001-04-09
MO,2001,chlor_fall,198,2001-07-17
MO,2002,chlor_all,182,2002-07-01
MO,2002,chlor_spring,100,2002-04-10
MO,2002,chlor_fall,182,2002-07-01
MO,2003,chlor_all,44,2003-02-13
MO,2003,chlor_spring,44,2003-02-13
MO,2003,chlor_fall,189,2003-07-08
MO,2004,chlor_all,104,2004-04-13
MO,2004,chlor_spring,104,2004-04-13
MO,2004,chlor_fall,202,2004-07-20
MO,2005,chlor_all,172,2005-06-21
MO,2005,chlor_spring,172,2005-06-21
MO,2005,chlor_fall,200,2005-07-19
MO,2006,chlor_all,164,2006-06-13
MO,2006,chlor_spring,164,2006-06-13
MO,2006,chlor_fall,178,2006-06-27
MO,2007,chlor_all,107,2007-04-17
MO,2007,chlor_spring,107,2007-04-17
MO,2007,chlor_fall,176,2007-06-25
MO,2008,chlor_all,203,2008-07-21
MO,2008,chlor_spring,121,2008-04-30
MO,2008,chlor_fall,203,2008-07-21
MO,2009,chlor_all,107,2009-04-17
MO,2009,chlor_spring,107,2009-04-17
MO,2009,chlor_fall,190,2009-07-09
MO,2010,chlor_all,102,2010-04-12
MO,2010,chlor_spring,102,2010-04-12
MO,2010,chlor_fall,216,2010-08-04
MO,2011,chlor_all,193,2011-07-12
MO,2011,chlor_spring,165,2011-06-14
MO,2011,chlor_fall,193,2011-07-12
MO,2012,chlor_all,137,2012-05-16
MO,2012,chlor_spring,137,2012-05-16
MO,2012,chlor_fall,178,2012-06-26
MO,2013,chlor_all,162,2013-06-11
MO,2013,chlor_spring,162,2013-06-11
MO,2013,chlor_fall,176,2013-06-25
MO,2014,chlor_all,161,2014-06-10
MO,2014,chlor_spring,161,2014-06-10
MO,2014,chlor_fall,232,2014-08-20
MO,2015,chlor_all,121,2015-05-01
MO,2015,chlor_spring,121,2015-05-01
MO,2015,chlor_fall,247,2015-09-04
MO,2016,chlor_all,35,2016-02-04
MO,2016,chlor_spring,35,2016-02-04
MO,2016,chlor_fall,215,2016-08-02
MO,2017,chlor_all,192,2017-07-11
MO,2017,chlor_spring,44,2017-02-13
MO,2017,chlor_fall,192,2017-07-11
MO,2018,chlor_all,114,2018-04-24
MO,2018,chlor_spring,114,2018-04-24
MO,2018,chlor_fall,191,2018-07-10
MO,2019,chlor_all,58,2019-02-27
MO,2019,chlor_spring,58,2019-02-27
MO,2019,chlor_fall,191,2019-07-10
MO,2020,chlor_all,58,2020-02-27
MO,2020,chlor_spring,58,2020-02-27
MO,2020,chlor_fall,191,2020-07-09
WI,1996,chlor_all,44,1996-02-13
WI,1996,chlor_spring,44,1996-02-13
WI,1996,chlor_fall,192,1996-07-10
WI,1997,chlor_all,125,1997-05-05
WI,1997,chlor_spring,125,1997-05-05
WI,1997,chlor_fall,301,1997-10-28
WI,1998,chlor_all,105,1998-04-15
WI,1998,chlor_spring,105,1998-04-15
WI,1998,chlor_fall,299,1998-10-26
WI,1999,chlor_all,190,1999-07-09
WI,1999,chlor_spring,144,1999-05-24
WI,1999,chlor_fall,190,1999-07-09
WI,2000,chlor_all,157,2000-06-05
WI,2000,chlor_spring,157,2000-06-05
WI,2000,chlor_fall,214,2000-08-01
WI,2001,chlor_all,333,2001-11-29
WI,2001,chlor_spring,157,2001-06-06
WI,2001,chlor_fall,333,2001-11-29
WI,2002,chlor_all,112,2002-04-22
WI,2002,chlor_spring,112,2002-04-22
WI,2002,chlor_fall,227,2002-08-15
WI,2003,chlor_all,135,2003-05-15
WI,2003,chlor_spring,135,2003-05-15
WI,2003,chlor_fall,310,2003-11-06
WI,2004,chlor_all,176,2004-06-24
WI,2004,chlor_spring,147,2004-05-26
WI,2004,chlor_fall,176,2004-06-24
WI,2005,chlor_all,40,2005-02-09
WI,2005,chlor_spring,40,2005-02-09
WI,2005,chlor_fall,187,2005-07-06
WI,2006,chlor_all,277,2006-10-04
WI,2006,chlor_spring,109,2006-04-19
WI,2006,chlor_fall,277,2006-10-04
WI,2007,chlor_all,233,2007-08-21
WI,2007,chlor_spring,123,2007-05-03
WI,2007,chlor_fall,233,2007-08-21
WI,2008,chlor_all,49,2008-02-18
WI,2008,chlor_spring,49,2008-02-18
WI,2008,chlor_fall,252,2008-09-08
WI,2009,chlor_all,47,2009-02-16
WI,2009,chlor_spring,47,2009-02-16
WI,2009,chlor_fall,243,2009-08-31
WI,2010,chlor_all,36,2010-02-05
WI,2010,chlor_spring,36,2010-02-05
WI,2010,chlor_fall,229,2010-08-17
WI,2011,chlor_all,235,2011-08-23
WI,2011,chlor_spring,110,2011-04-20
WI,2011,chlor_fall,235,2011-08-23
WI,2012,chlor_all,249,2012-09-05
WI,2012,chlor_spring,151,2012-05-30
WI,2012,chlor_fall,249,2012-09-05
WI,2013,chlor_all,252,2013-09-09
WI,2013,chlor_spring,149,2013-05-29
WI,2013,chlor_fall,252,2013-09-09
WI,2014,chlor_all,135,2014-05-15
WI,2014,chlor_spring,135,2014-05-15
WI,2014,chlor_fall,191,2014-07-10
WI,2015,chlor_all,251,2015-09-08
WI,2015,chlor_spring,132,2015-05-12
WI,2015,chlor_fall,251,2015-09-08
WI,2016,chlor_all,252,2016-09-08
WI,2016,chlor_spring,118,2016-04-27
WI,2016,chlor_fall,252,2016-09-08
WI,2017,chlor_all,275,2017-10-02
WI,2017,chlor_spring,138,2017-05-18
WI,2017,chlor_fall,275,2017-10-02
WI,2018,chlor_all,233,2018-08-21
WI,2018,chlor_spring,57,2018-02-26
WI,2018,chlor_fall,233,2018-08-21
WI,2019,chlor_all,231,2019-08-19
WI,2019,chlor_spring,165,2019-06-14
WI,2019,chlor_fall,231,2019-08-19
WI,2020,chlor_all,276,2020-10-02
WI,2020,chlor_spring,160,2020-06-08
WI,2020,chlor_fall,276,2020-10-02
