lakeid,sampledate,group,biomass,year,doy
AL,1982-06-09,TOTAL,456.7566354925334,1982,160
AL,1983-06-22,TOTAL,629.9371024361598,1983,173
AL,1984-11-08,TOTAL,559.2483462395389,1984,313
AL,1985-04-30,TOTAL,366.8433928214412,1985,120
AL,1986-08-13,TOTAL,434.70450018010814,1986,225
AL,1987-08-13,TOTAL,883.0586499225275,1987,225
AL,1988-11-02,TOTAL,668.7336373148811,1988,307
AL,1989-11-09,TOTAL,588.7049790116934,1989,313
AL,1990-04-30,TOTAL,981.5944213940372,1990,120
AL,1991-08-27,TOTAL,684.3656061489694,1991,239
AL,1992-11-06,TOTAL,555.8023158521954,1992,311
AL,1993-06-04,TOTAL,507.55233149392495,1993,155
AL,1994-08-25,TOTAL,360.40947598086535,1994,237
AL,1995-06-12,TOTAL,585.5206822558981,1995,163
AL,1996-06-12,TOTAL,245.0555098855259,1996,164
AL,1997-06-16,TOTAL,220.55166791221157,1997,167
AL,1998-11-04,TOTAL,620.5306406923554,1998,308
AL,1999-02-25,TOTAL,1932.7711778496107,1999,56
AL,2000-11-15,TOTAL,677.8823613245984,2000,320
AL,2001-11-14,TOTAL,930.4103531993413,2001,318
AL,2002-08-14,TOTAL,934.3433227967988,2002,226
AL,2003-07-23,TOTAL,805.6753380338101,2003,204
AL,2004-10-11,TOTAL,1781.3908982675114,2004,285
AL,2005-05-16,TOTAL,807.6252291501597,2005,136
AL,2006-10-04,TOTAL,815.9901154226135,2006,277
AL,2007-07-16,TOTAL,981.0236290032949,2007,197
AL,2008-09-22,TOTAL,1014.1663421912554,2008,266
AL,2009-11-09,TOTAL,773.2907940757016,2009,313
AL,2010-04-12,TOTAL,718.9598460921878,2010,102
AL,2011-09-19,TOTAL,601.6381614237087,2011,262
AL,2012-11-09,TOTAL,525.5875447707733,2012,314
AL,2013-02-25,TOTAL,491.2212731397293,2013,56
AL,2014-11-03,TOTAL,952.627719761773,2014,307
AL,2015-10-06,TOTAL,396.3298728189429,2015,279
AL,2016-10-11,TOTAL,631.7713715777694,2016,285
AL,2017-08-08,TOTAL,620.5076384706946,2017,220
AL,2018-11-05,TOTAL,431.846416930497,2018,309
AL,2019-08-27,TOTAL,565.425422042451,2019,239
BM,1981-10-20,TOTAL,886.5603634240551,1981,293
BM,1982-05-25,TOTAL,800.6845579114143,1982,145
BM,1983-11-28,TOTAL,625.898694279809,1983,332
BM,1984-09-04,TOTAL,819.9706326602335,1984,248
BM,1985-05-30,TOTAL,1111.3772818389716,1985,150
BM,1986-11-05,TOTAL,565.7316833306911,1986,309
BM,1987-11-04,TOTAL,417.30216584199974,1987,308
BM,1988-05-11,TOTAL,822.6994419169148,1988,132
BM,1989-05-31,TOTAL,606.7048830784983,1989,151
BM,1990-08-21,TOTAL,655.5492917005172,1990,233
BM,1991-10-29,TOTAL,523.3783984556858,1991,302
BM,1992-11-11,TOTAL,567.667697936213,1992,316
BM,1993-11-10,TOTAL,415.1800018566152,1993,314
BM,1994-05-06,TOTAL,443.8323155426138,1994,126
BM,1995-12-18,TOTAL,261.3154955922074,1995,352
BM,1996-11-06,TOTAL,680.0743635809114,1996,311
BM,1997-06-17,TOTAL,313.19182174270804,1997,168
BM,1998-11-02,TOTAL,636.1175031124499,1998,306
BM,1999-11-11,TOTAL,505.6037860267414,1999,315
BM,2000-08-24,TOTAL,392.20344104779485,2000,237
BM,2001-11-12,TOTAL,518.3045074425703,2001,316
BM,2002-08-12,TOTAL,446.2392856189062,2002,224
BM,2003-07-23,TOTAL,289.83502885098454,2003,204
BM,2004-09-13,TOTAL,418.0347891110359,2004,257
BM,2005-11-11,TOTAL,567.5567213706338,2005,315
BM,2006-05-19,TOTAL,668.9136867148546,2006,139
BM,2007-10-08,TOTAL,1127.7267465023474,2007,281
BM,2008-06-03,TOTAL,588.6324887721026,2008,155
BM,2009-04-29,TOTAL,722.5262287054128,2009,119
BM,2010-05-10,TOTAL,884.2553152552308,2010,130
BM,2011-05-05,TOTAL,655.6362497546404,2011,125
BM,2012-04-30,TOTAL,546.4806495996049,2012,121
BM,2013-11-14,TOTAL,348.61543384858777,2013,318
BM,2014-11-05,TOTAL,477.9455075177441,2014,309
BM,2015-05-19,TOTAL,540.2705117009872,2015,139
BM,2016-05-23,TOTAL,575.6096062519647,2016,144
BM,2017-04-19,TOTAL,777.3073237145676,2017,109
BM,2018-06-13,TOTAL,425.62464997213124,2018,164
BM,2019-06-03,TOTAL,703.5025395182671,2019,154
CB,1981-08-27,TOTAL,337.90568182974323,1981,239
CB,1982-09-07,TOTAL,1872.0942827699766,1982,250
CB,1983-01-28,TOTAL,12880.441732015077,1983,28
CB,1984-02-20,TOTAL,1438.9372197784323,1984,51
CB,1985-02-26,TOTAL,2199.1192081682084,1985,57
CB,1986-01-13,TOTAL,1480.4010231176387,1986,13
CB,1987-08-13,TOTAL,609.2952288843046,1987,225
CB,1988-06-22,TOTAL,895.0764558680123,1988,174
CB,1989-06-14,TOTAL,509.8390596043447,1989,165
CB,1990-06-11,TOTAL,623.3591777418247,1990,162
CB,1991-02-18,TOTAL,563.811976908651,1991,49
CB,1992-07-25,TOTAL,864.6594205661555,1992,207
CB,1993-08-25,TOTAL,242.07798091069012,1993,237
CB,1994-06-14,TOTAL,783.83443265838,1994,165
CB,1995-06-12,TOTAL,1243.274882972241,1995,163
CB,1996-08-07,TOTAL,575.8982571033819,1996,220
CB,1997-08-26,TOTAL,597.9841697446668,1997,238
CB,1998-06-16,TOTAL,238.12341359590582,1998,167
CB,1999-06-30,TOTAL,914.7452712205081,1999,181
CB,2000-06-14,TOTAL,1814.164014493771,2000,166
CB,2001-06-26,TOTAL,1077.6055485582708,2001,177
CB,2002-02-22,TOTAL,601.4562388026565,2002,53
CB,2003-08-18,TOTAL,807.0449710035783,2003,230
CB,2004-06-23,TOTAL,852.7538681774136,2004,175
CB,2005-08-09,TOTAL,1042.703159028063,2005,221
CB,2006-07-12,TOTAL,1732.6575848046614,2006,193
CB,2007-09-10,TOTAL,745.9532461360944,2007,253
CB,2008-07-29,TOTAL,568.8370720256588,2008,211
CB,2009-09-16,TOTAL,758.2432516839309,2009,259
CB,2010-02-22,TOTAL,2327.4980979116767,2010,53
CB,2011-07-26,TOTAL,1284.9960072481242,2011,207
CB,2012-06-27,TOTAL,567.6394698936875,2012,179
CB,2013-09-05,TOTAL,584.2272627095322,2013,248
CB,2014-08-13,TOTAL,877.5304181067439,2014,225
CB,2015-08-12,TOTAL,970.906783765409,2015,224
CB,2016-09-13,TOTAL,1466.5107068003485,2016,257
CB,2017-10-03,TOTAL,773.9819538678871,2017,276
CB,2018-10-03,TOTAL,2708.933911870903,2018,276
CB,2019-07-30,TOTAL,907.4922612397946,2019,211
CR,1981-07-27,TOTAL,362.9102778018164,1981,208
CR,1982-08-03,TOTAL,1346.3255751276138,1982,215
CR,1983-01-14,TOTAL,637.0925095364308,1983,14
CR,1984-05-23,TOTAL,374.4556362835982,1984,144
CR,1985-05-15,TOTAL,723.2626083975094,1985,135
CR,1986-05-22,TOTAL,545.0976182727705,1986,142
CR,1987-05-05,TOTAL,497.85352575070107,1987,125
CR,1988-01-19,TOTAL,660.8635858861144,1988,19
CR,1989-07-12,TOTAL,783.1859954558386,1989,193
CR,1990-09-06,TOTAL,1143.153397781194,1990,249
CR,1991-08-15,TOTAL,1040.873636766761,1991,227
CR,1992-09-08,TOTAL,668.0413096797641,1992,252
CR,1993-09-07,TOTAL,873.3603412028191,1993,250
CR,1994-01-12,TOTAL,2168.334818058525,1994,12
CR,1995-08-10,TOTAL,741.6255519610525,1995,222
CR,1996-10-01,TOTAL,296.64859077426274,1996,275
CR,1997-08-25,TOTAL,386.64779839122065,1997,237
CR,1998-05-20,TOTAL,661.7345793361211,1998,140
CR,1999-08-25,TOTAL,482.3866906939688,1999,237
CR,2000-06-01,TOTAL,537.6312749050477,2000,153
CR,2001-08-09,TOTAL,343.51405324570356,2001,221
CR,2002-08-15,TOTAL,772.9692663778109,2002,227
CR,2003-09-18,TOTAL,544.0941287298691,2003,261
CR,2004-05-27,TOTAL,492.3781169057109,2004,148
CR,2005-09-06,TOTAL,795.0124514945942,2005,249
CR,2006-08-10,TOTAL,538.752965324789,2006,222
CR,2007-10-11,TOTAL,714.5328506707084,2007,284
CR,2008-08-26,TOTAL,575.5002047540576,2008,239
CR,2009-04-28,TOTAL,511.3633967783757,2009,118
CR,2010-06-09,TOTAL,559.6479117501702,2010,160
CR,2011-07-14,TOTAL,584.7271236887175,2011,195
CR,2012-06-01,TOTAL,626.8090740510912,2012,153
CR,2013-06-27,TOTAL,941.5048346247603,2013,178
CR,2014-11-13,TOTAL,411.76368593849884,2014,317
CR,2015-08-10,TOTAL,990.4232657402121,2015,222
CR,2016-08-17,TOTAL,578.3679635314721,2016,230
CR,2017-05-17,TOTAL,706.065787114345,2017,137
CR,2018-07-10,TOTAL,685.9159799632827,2018,191
CR,2019-07-02,TOTAL,586.7688980041113,2019,183
FI,1997-06-24,TOTAL,5398907.168546062,1997,175
FI,1999-07-20,TOTAL,19755035.128525093,1999,201
FI,2000-05-10,TOTAL,5533839.013927711,2000,131
FI,2002-07-02,TOTAL,1742350.513421067,2002,183
FI,2003-01-27,TOTAL,999691.3094488736,2003,27
FI,2007-04-20,TOTAL,2464549.070331349,2007,110
FI,2008-08-07,TOTAL,2402546.6788958455,2008,220
FI,2009-04-22,TOTAL,10660157.62173537,2009,112
FI,2010-10-29,TOTAL,9434947.86590213,2010,302
FI,2011-11-03,TOTAL,12970261.474252867,2011,307
FI,2012-11-02,TOTAL,22540005.651053827,2012,307
FI,2013-05-08,TOTAL,10805335.582356755,2013,128
FI,2014-06-11,TOTAL,14402745.290543266,2014,162
FI,2015-01-16,TOTAL,9573907.174559254,2015,16
FI,2016-06-06,TOTAL,8510076.08664467,2016,158
FI,2017-04-20,TOTAL,6793335.123431746,2017,110
FI,2018-06-13,TOTAL,3030123.3758200305,2018,164
ME,1995-10-25,TOTAL,9645391.731617475,1995,298
ME,1996-05-14,TOTAL,17448443.19335532,1996,135
ME,1997-05-02,TOTAL,11960669.625954978,1997,122
ME,1998-07-06,TOTAL,8481687.559113627,1998,187
ME,1999-03-29,TOTAL,14316322.648625553,1999,88
ME,2000-10-24,TOTAL,12556209.23469701,2000,298
ME,2001-11-06,TOTAL,13169211.160246974,2001,310
ME,2002-04-08,TOTAL,6199066.986837867,2002,98
ME,2003-06-23,TOTAL,2260574.677131324,2003,174
ME,2004-04-28,TOTAL,1895499.3286947284,2004,119
ME,2005-05-09,TOTAL,8601296.173579814,2005,129
ME,2006-11-27,TOTAL,4173537.704156009,2006,331
ME,2007-06-11,TOTAL,10634174.145884445,2007,162
ME,2008-09-05,TOTAL,7145724.256800909,2008,249
ME,2009-05-11,TOTAL,8950520.399120549,2009,131
ME,2010-05-10,TOTAL,5808983.583915183,2010,130
ME,2011-05-17,TOTAL,33629061.217681505,2011,137
ME,2012-04-17,TOTAL,23766255.781420503,2012,108
ME,2013-05-28,TOTAL,20411746.3069539,2013,148
ME,2014-05-28,TOTAL,38244382.61759922,2014,148
ME,2015-05-27,TOTAL,72485803.0106291,2015,147
ME,2016-05-11,TOTAL,30231467.68883272,2016,132
ME,2017-06-12,TOTAL,23899543.19177255,2017,163
ME,2018-05-29,TOTAL,6944561.0722306315,2018,149
MO,1995-10-25,TOTAL,15502147.71361826,1995,298
MO,1996-05-01,TOTAL,13963498.8923498,1996,122
MO,1997-05-01,TOTAL,8892863.18700217,1997,121
MO,1998-04-27,TOTAL,9280942.305954201,1998,117
MO,1999-04-26,TOTAL,9678052.187608285,1999,116
MO,2000-05-09,TOTAL,9713826.95166005,2000,130
MO,2001-05-09,TOTAL,21080445.02258528,2001,129
MO,2002-06-05,TOTAL,4751112.815614216,2002,156
MO,2003-04-01,TOTAL,8486283.879528899,2003,91
MO,2004-04-29,TOTAL,4325113.257663161,2004,120
MO,2005-04-18,TOTAL,7729515.983583349,2005,108
MO,2006-05-03,TOTAL,9035089.736456756,2006,123
MO,2007-06-25,TOTAL,7041978.703554408,2007,176
MO,2008-05-28,TOTAL,9996315.279016955,2008,149
MO,2009-05-11,TOTAL,15946160.875828734,2009,131
MO,2010-04-27,TOTAL,5536662.604868034,2010,117
MO,2011-11-01,TOTAL,37711755.71314216,2011,305
MO,2012-11-01,TOTAL,35579147.001022376,2012,306
MO,2013-02-05,TOTAL,41534139.716018826,2013,36
MO,2014-05-28,TOTAL,17769158.43970048,2014,148
MO,2015-05-13,TOTAL,41791086.72654149,2015,133
MO,2016-05-23,TOTAL,35658177.33428417,2016,144
MO,2017-05-04,TOTAL,15361002.393858835,2017,124
MO,2018-05-15,TOTAL,7128148.531360632,2018,135
SP,1981-06-04,TOTAL,183.8151739408729,1981,155
SP,1982-05-27,TOTAL,472.3984043524371,1982,147
SP,1983-11-02,TOTAL,380.023223443393,1983,306
SP,1984-07-31,TOTAL,652.644455912184,1984,213
SP,1985-05-29,TOTAL,500.9211206473828,1985,149
SP,1986-08-25,TOTAL,612.7705833129608,1986,237
SP,1987-10-20,TOTAL,630.592542534257,1987,293
SP,1988-06-21,TOTAL,537.4829974542625,1988,173
SP,1989-07-10,TOTAL,986.179360789095,1989,191
SP,1990-06-11,TOTAL,600.1997281283157,1990,162
SP,1991-11-11,TOTAL,204.54548131247927,1991,315
SP,1992-11-09,TOTAL,179.26421457772233,1992,314
SP,1993-08-23,TOTAL,336.2487120194943,1993,235
SP,1994-08-24,TOTAL,496.2332560367951,1994,236
SP,1995-06-14,TOTAL,234.10339507324943,1995,165
SP,1996-11-06,TOTAL,292.30215419211567,1996,311
SP,1997-06-18,TOTAL,319.81874952933697,1997,169
SP,1998-08-12,TOTAL,257.24140565856186,1998,224
SP,1999-08-23,TOTAL,398.69274187648256,1999,235
SP,2000-11-16,TOTAL,405.6066027278724,2000,321
SP,2001-01-22,TOTAL,372.81213175416104,2001,22
SP,2002-08-14,TOTAL,494.82358754045913,2002,226
SP,2003-07-07,TOTAL,949.9676881665904,2003,188
SP,2004-06-07,TOTAL,386.6219047711304,2004,159
SP,2005-08-09,TOTAL,384.6714478849662,2005,221
SP,2006-07-12,TOTAL,584.4066320277165,2006,193
SP,2007-10-10,TOTAL,517.9352912031252,2007,283
SP,2008-07-01,TOTAL,197.8776990886999,2008,183
SP,2009-09-17,TOTAL,274.5456245971963,2009,260
SP,2010-09-01,TOTAL,535.6192990841686,2010,244
SP,2011-06-28,TOTAL,693.627233857647,2011,179
SP,2012-05-02,TOTAL,483.47251890964986,2012,123
SP,2013-07-08,TOTAL,341.5226522290716,2013,189
SP,2014-11-10,TOTAL,365.45421771131555,2014,314
SP,2015-07-14,TOTAL,420.1477248192573,2015,195
SP,2016-08-18,TOTAL,325.2733166386481,2016,231
SP,2017-07-10,TOTAL,523.2758669701043,2017,191
SP,2018-07-11,TOTAL,540.2465997668816,2018,192
SP,2019-06-04,TOTAL,471.13124125994904,2019,155
TB,1982-06-07,TOTAL,1560.7082736541522,1982,158
TB,1983-06-23,TOTAL,302.74097296383866,1983,174
TB,1984-08-01,TOTAL,788.7843488947127,1984,214
TB,1985-08-21,TOTAL,394.54626109949726,1985,233
TB,1986-08-13,TOTAL,115.36914016654463,1986,225
TB,1987-08-12,TOTAL,255.2456193302853,1987,224
TB,1988-03-01,TOTAL,296.38120690123804,1988,61
TB,1989-03-06,TOTAL,418.53815832123183,1989,65
TB,1990-08-22,TOTAL,398.9525185276372,1990,234
TB,1991-08-26,TOTAL,163.16424223542052,1991,238
TB,1992-02-26,TOTAL,141.63180373633452,1992,57
TB,1993-08-23,TOTAL,423.12638817177947,1993,235
TB,1994-02-24,TOTAL,396.35346234635335,1994,55
TB,1995-02-14,TOTAL,374.8034601234175,1995,45
TB,1996-02-21,TOTAL,1423.296241606841,1996,52
TB,1997-02-18,TOTAL,1312.8869573575741,1997,49
TB,1998-11-12,TOTAL,236.90415794834547,1998,316
TB,1999-02-24,TOTAL,524.003054475461,1999,55
TB,2000-11-14,TOTAL,596.5732769541618,2000,319
TB,2001-06-25,TOTAL,171.133390255449,2001,176
TB,2002-08-12,TOTAL,159.84173509428476,2002,224
TB,2003-11-07,TOTAL,838.4079111693434,2003,311
TB,2004-08-31,TOTAL,305.9407487170379,2004,244
TB,2005-11-17,TOTAL,1110.0563666734251,2005,321
TB,2006-09-07,TOTAL,457.9805075391024,2006,250
TB,2007-10-09,TOTAL,1131.0116292951466,2007,282
TB,2008-10-21,TOTAL,248.68363600263254,2008,295
TB,2009-06-22,TOTAL,777.5961235268356,2009,173
TB,2010-06-10,TOTAL,395.0437951227014,2010,161
TB,2011-06-27,TOTAL,722.7660293187055,2011,178
TB,2012-05-02,TOTAL,461.8612489788203,2012,123
TB,2013-02-18,TOTAL,1846.6841451112589,2013,49
TB,2014-06-16,TOTAL,364.5576721652032,2014,167
TB,2015-06-17,TOTAL,1292.1176638069055,2015,168
TB,2016-07-18,TOTAL,432.33653546567257,2016,200
TB,2017-11-06,TOTAL,647.0455741127377,2017,310
TB,2018-10-01,TOTAL,892.9512643443511,2018,274
TB,2019-11-05,TOTAL,1570.1615625328507,2019,309
TR,1981-07-29,TOTAL,369.39905725634304,1981,210
TR,1982-08-03,TOTAL,225.61925326206125,1982,215
TR,1983-07-06,TOTAL,436.7887059352114,1983,187
TR,1984-08-02,TOTAL,356.28939853254275,1984,215
TR,1985-06-26,TOTAL,340.190399872624,1985,177
TR,1986-10-06,TOTAL,1204.98816733743,1986,279
TR,1987-06-12,TOTAL,597.8858132496367,1987,163
TR,1988-07-06,TOTAL,644.1391018011617,1988,188
TR,1989-06-12,TOTAL,307.5622379035417,1989,163
TR,1990-06-11,TOTAL,459.73444317669407,1990,162
TR,1991-08-28,TOTAL,268.6322069577059,1991,240
TR,1992-06-16,TOTAL,185.15989040120428,1992,168
TR,1993-05-10,TOTAL,277.87235196391714,1993,130
TR,1994-05-04,TOTAL,312.28249074402135,1994,124
TR,1995-02-16,TOTAL,264.76544935041784,1995,47
TR,1996-11-07,TOTAL,346.5781593653678,1996,312
TR,1997-06-17,TOTAL,335.48092455853185,1997,168
TR,1998-06-16,TOTAL,312.28601959703633,1998,167
TR,1999-06-29,TOTAL,371.51673906356274,1999,180
TR,2000-05-31,TOTAL,436.11791480425745,2000,152
TR,2001-06-14,TOTAL,739.599582773425,2001,165
TR,2002-05-21,TOTAL,585.4267063282643,2002,141
TR,2003-06-24,TOTAL,505.3363105231319,2003,175
TR,2004-09-21,TOTAL,458.7758089143171,2004,265
TR,2005-05-17,TOTAL,584.1486743929811,2005,137
TR,2006-05-17,TOTAL,868.2704050320672,2006,137
TR,2007-10-11,TOTAL,873.7477037734449,2007,284
TR,2008-06-04,TOTAL,414.95343984663646,2008,156
TR,2009-10-13,TOTAL,478.6334623150905,2009,286
TR,2010-06-09,TOTAL,431.9693538609899,2010,160
TR,2011-07-28,TOTAL,507.4501131463203,2011,209
TR,2012-05-31,TOTAL,413.16119827300963,2012,152
TR,2013-07-09,TOTAL,439.8825426535101,2013,190
TR,2014-08-14,TOTAL,253.77219875704364,2014,226
TR,2015-06-18,TOTAL,518.740305693253,2015,169
TR,2016-05-26,TOTAL,464.0217943940334,2016,147
TR,2017-06-16,TOTAL,545.3175531499232,2017,167
TR,2018-07-12,TOTAL,503.63789114856814,2018,193
TR,2019-07-03,TOTAL,538.2628059893997,2019,184
WI,2007-07-11,TOTAL,932338.2043593511,2007,192
WI,2008-08-06,TOTAL,786633.2780385434,2008,219
WI,2009-06-11,TOTAL,4702741.92998624,2009,162
WI,2010-06-10,TOTAL,2073144.1673077338,2010,161
WI,2011-08-10,TOTAL,8195327.781163185,2011,222
WI,2012-08-08,TOTAL,17881432.46468339,2012,221
WI,2013-06-12,TOTAL,4766239.926820921,2013,163
WI,2014-06-12,TOTAL,1155308.7895100408,2014,163
WI,2015-08-05,TOTAL,1328219.2718529706,2015,217
WI,2016-07-07,TOTAL,3748030.493572464,2016,189
WI,2017-08-09,TOTAL,2734460.0557022574,2017,221
WI,2018-04-26,TOTAL,412769.1103798809,2018,116
