"","lakeid","year4","daynum","sampledate","depth","chlor"
"1","AL",1981,255,1981-09-12,"0",21.1
"2","AL",1982,131,1982-05-11,"0",23.1
"3","AL",1983,272,1983-09-29,"0",23.7
"4","AL",1984,268,1984-09-24,"0",24.1
"5","AL",1985,231,1985-08-19,"0",18
"6","AL",1986,295,1986-10-22,"0",18.1
"7","AL",1987,278,1987-10-05,"0",14.5
"8","AL",1988,272,1988-09-28,"0",16.2
"9","AL",1989,121,1989-05-01,"0",13.2
"10","AL",1990,290,1990-10-17,"0",12.7
"11","AL",1991,253,1991-09-10,"0",42.8
"12","AL",1992,265,1992-09-21,"0",22.1
"13","AL",1993,265,1993-09-22,"0",26.7
"14","AL",1994,88,1994-03-29,"0",27.3
"15","AL",1995,11,1995-01-11,"0",21.6
"16","AL",1996,260,1996-09-16,"0",15.2
"17","AL",1997,293,1997-10-20,"0",9
"18","AL",1998,75,1998-03-16,"0",36.8
"19","AL",1999,277,1999-10-04,"0",23.7
"20","AL",2000,276,2000-10-02,"0",21.1
"21","AL",2001,121,2001-05-01,"0",17.5
"22","AL",2002,282,2002-10-09,"0",19.4
"23","AL",2003,135,2003-05-15,"0",15
"24","AL",2004,299,2004-10-25,"0",18.7
"25","AL",2005,293,2005-10-20,"0",12.3
"26","AL",2006,110,2006-04-20,"0",18
"27","AL",2007,281,2007-10-08,"0",30.5
"28","AL",2008,280,2008-10-06,"0",11.4
"29","AL",2009,287,2009-10-14,"0",15.3
"30","AL",2010,256,2010-09-13,"0",15.5
"31","AL",2011,278,2011-10-05,"0",13.5
"32","AL",2012,150,2012-05-29,"0",32.6
"33","AL",2013,303,2013-10-30,"0",14.7
"34","AL",2014,140,2014-05-20,"0",26.3
"35","AL",2015,279,2015-10-06,"0",12.2
"36","AL",2016,285,2016-10-11,"0",21.1
"37","AL",2017,248,2017-09-05,"0",15.3
"38","AL",2018,275,2018-10-02,"0",13.4
"39","BM",1981,223,1981-08-11,"0",23.5
"40","BM",1982,145,1982-05-25,"0",42.9
"41","BM",1983,318,1983-11-14,"0",5.5
"42","BM",1984,289,1984-10-15,"0",13.3
"43","BM",1985,134,1985-05-14,"0",3.8
"44","BM",1986,113,1986-04-23,"0",6.6
"45","BM",1987,308,1987-11-04,"0",6
"46","BM",1988,116,1988-04-25,"0",6.5
"47","BM",1989,122,1989-05-02,"0",6.3
"48","BM",1990,23,1990-01-23,"0",10.2
"49","BM",1991,140,1991-05-20,"0",5.5
"50","BM",1992,225,1992-08-12,"0",7.7
"51","BM",1993,264,1993-09-21,"0",4
"52","BM",1994,89,1994-03-30,"0",38.2
"53","BM",1995,11,1995-01-11,"0",6.8
"54","BM",1996,149,1996-05-28,"0",6.5
"55","BM",1997,225,1997-08-13,"0",7.5
"56","BM",1998,306,1998-11-02,"0",9.5
"57","BM",1999,294,1999-10-21,"0",5.8
"58","BM",2000,306,2000-11-01,"0",6.1
"59","BM",2001,304,2001-10-31,"0",7.4
"60","BM",2002,266,2002-09-23,"0",8.8
"61","BM",2003,135,2003-05-15,"0",13.2
"62","BM",2004,120,2004-04-29,"0",5.9
"63","BM",2005,112,2005-04-22,"0",7.6
"64","BM",2006,206,2006-07-25,"0",5
"65","BM",2007,313,2007-11-09,"0",6.4
"66","BM",2008,280,2008-10-06,"0",6.5
"67","BM",2009,285,2009-10-12,"0",9.2
"68","BM",2010,18,2010-01-18,"0",26.2
"69","BM",2011,14,2011-01-14,"0",7.9
"70","BM",2012,11,2012-01-11,"0",8.1
"71","BM",2013,161,2013-06-10,"0",5.1
"72","BM",2014,140,2014-05-20,"0",4.7
"73","BM",2015,113,2015-04-23,"0",14.9
"74","BM",2016,316,2016-11-11,"0",6
"75","BM",2017,290,2017-10-17,"0",4.6
"76","BM",2018,22,2018-01-22,"0",15.2
"77","CB",1981,268,1981-09-25,"0",63.4
"78","CB",1982,279,1982-10-06,"1",36.4
"79","CB",1983,291,1983-10-18,"1",27.9
"80","CB",1984,5,1984-01-05,"0",21.5
"81","CB",1985,150,1985-05-30,"1",26.2
"82","CB",1986,153,1986-06-02,"1",42.6
"83","CB",1987,54,1987-02-23,"0",110.2
"84","CB",1988,20,1988-01-20,"0",102.7
"85","CB",1989,52,1989-02-21,"0",43.4
"86","CB",1990,260,1990-09-17,"0",75.6
"87","CB",1991,81,1991-03-22,"0",47.1
"88","CB",1992,267,1992-09-23,"1",57.2
"89","CB",1993,14,1993-01-14,"0",68.3
"90","CB",1994,223,1994-08-11,"0",63.5
"91","CB",1995,12,1995-01-12,"1",105.8
"92","CB",1996,177,1996-06-25,"1",45.3
"93","CB",1997,13,1997-01-13,"0",111.4
"94","CB",1998,196,1998-07-15,"1",79.3
"95","CB",1999,19,1999-01-19,"0",66.4
"96","CB",2000,235,2000-08-22,"1",37.6
"97","CB",2001,262,2001-09-19,"0",48.6
"98","CB",2002,266,2002-09-23,"1",43.3
"99","CB",2003,216,2003-08-04,"1.5",234.4
"100","CB",2004,313,2004-11-08,"1",47.6
"101","CB",2005,12,2005-01-12,"0",242.3
"102","CB",2006,12,2006-01-12,"0",169.6
"103","CB",2007,22,2007-01-22,"0",108.7
"104","CB",2008,281,2008-10-07,"0",36.8
"105","CB",2009,230,2009-08-18,"1",53.3
"106","CB",2010,298,2010-10-25,"0",117.4
"107","CB",2011,25,2011-01-25,"0",120
"108","CB",2012,95,2012-04-04,"1",77.5
"109","CB",2013,217,2013-08-05,"1",57.6
"110","CB",2014,238,2014-08-26,"1",636.2
"111","CB",2015,238,2015-08-26,"0",50.2
"112","CB",2016,132,2016-05-11,"0",59.4
"113","CB",2017,250,2017-09-07,"0",35.8
"114","CB",2018,151,2018-05-31,"1",137.4
"115","CR",1981,224,1981-08-12,"0",10.4
"116","CR",1982,130,1982-05-10,"0",4.8
"117","CR",1983,157,1983-06-06,"0",3.1
"118","CR",1984,129,1984-05-08,"0",4.1
"119","CR",1985,135,1985-05-15,"0",3.7
"120","CR",1986,307,1986-11-03,"0",2.9
"121","CR",1987,308,1987-11-04,"0",2.4
"122","CR",1988,133,1988-05-12,"0",8.2
"123","CR",1989,18,1989-01-18,"0",3.2
"124","CR",1990,290,1990-10-17,"0",2.7
"125","CR",1991,304,1991-10-31,"0",2.8
"126","CR",1992,282,1992-10-08,"0",2.9
"127","CR",1993,125,1993-05-05,"0",14.6
"128","CR",1994,320,1994-11-16,"0",7.9
"129","CR",1995,305,1995-11-01,"0",4.8
"130","CR",1996,310,1996-11-05,"0",4
"131","CR",1997,127,1997-05-07,"0",2.7
"132","CR",1998,14,1998-01-14,"0",7.2
"133","CR",1999,19,1999-01-19,"0",4.3
"134","CR",2000,110,2000-04-19,"0",5.4
"135","CR",2001,19,2001-01-19,"0",11
"136","CR",2002,129,2002-05-09,"0",6.6
"137","CR",2003,94,2003-04-04,"0",32.7
"138","CR",2004,314,2004-11-09,"0",5.2
"139","CR",2005,319,2005-11-15,"0",4.7
"140","CR",2006,109,2006-04-19,"0",4.8
"141","CR",2007,298,2007-10-25,"0",4.1
"142","CR",2008,157,2008-06-05,"0",3.3
"143","CR",2009,315,2009-11-11,"0",6.5
"144","CR",2010,314,2010-11-10,"0",4.4
"145","CR",2011,124,2011-05-04,"0",9.2
"146","CR",2012,250,2012-09-06,"0",12.9
"147","CR",2013,233,2013-08-21,"0",7
"148","CR",2014,317,2014-11-13,"0",5.9
"149","CR",2015,110,2015-04-20,"0",13.8
"150","CR",2016,132,2016-05-11,"0",3.1
"151","CR",2017,317,2017-11-13,"0",3.6
"152","CR",2018,315,2018-11-11,"0",4.5
"153","SP",1981,336,1981-12-02,"0",10.4
"154","SP",1982,20,1982-01-20,"0",18.8
"155","SP",1983,87,1983-03-28,"0",9.8
"156","SP",1984,130,1984-05-09,"0",7.3
"157","SP",1985,135,1985-05-15,"0",5.4
"158","SP",1986,114,1986-04-24,"0",5.8
"159","SP",1987,55,1987-02-24,"0",9.6
"160","SP",1988,116,1988-04-25,"0",4.4
"161","SP",1989,12,1989-01-12,"0",11.1
"162","SP",1990,17,1990-01-17,"0",3.6
"163","SP",1991,50,1991-02-19,"0",10.8
"164","SP",1992,14,1992-01-14,"0",14.8
"165","SP",1993,13,1993-01-13,"0",10.2
"166","SP",1994,87,1994-03-28,"0",27.6
"167","SP",1995,51,1995-02-20,"0",13.8
"168","SP",1996,135,1996-05-14,"0",3.7
"169","SP",1997,126,1997-05-06,"0",7.3
"170","SP",1998,12,1998-01-12,"0",42.7
"171","SP",1999,314,1999-11-10,"0",15.2
"172","SP",2000,18,2000-01-18,"0",15.8
"173","SP",2001,120,2001-04-30,"0",14.3
"174","SP",2002,142,2002-05-22,"0",8.5
"175","SP",2003,92,2003-04-02,"0",31.5
"176","SP",2004,12,2004-01-12,"0",11.4
"177","SP",2005,19,2005-01-19,"0",15.6
"178","SP",2006,17,2006-01-17,"0",4.6
"179","SP",2007,15,2007-01-15,"0",14.6
"180","SP",2008,17,2008-01-17,"0",11
"181","SP",2009,20,2009-01-20,"0",12.6
"182","SP",2010,12,2010-01-12,"0",15.3
"183","SP",2011,18,2011-01-18,"0",10.5
"184","SP",2012,52,2012-02-21,"0",5
"185","SP",2013,136,2013-05-16,"0",5.9
"186","SP",2014,139,2014-05-19,"0",6.5
"187","SP",2015,321,2015-11-17,"0",3.8
"188","SP",2016,117,2016-04-26,"0",11.3
"189","SP",2017,107,2017-04-17,"0",9.4
"190","SP",2018,53,2018-02-22,"0",38.9
"191","TB",1981,196,1981-07-15,"0",60.3
"192","TB",1982,334,1982-11-30,"0",39.1
"193","TB",1983,83,1983-03-24,"0",85.4
"194","TB",1984,95,1984-04-04,"0",51.3
"195","TB",1985,15,1985-01-15,"0",174
"196","TB",1986,196,1986-07-15,"0",58.3
"197","TB",1987,209,1987-07-28,"0",27.3
"198","TB",1988,83,1988-03-23,"0",192.3
"199","TB",1989,165,1989-06-14,"0",25.1
"200","TB",1990,274,1990-10-01,"0",23.6
"201","TB",1991,51,1991-02-20,"0",149.6
"202","TB",1992,295,1992-10-21,"0",24.1
"203","TB",1993,265,1993-09-22,"0",130
"204","TB",1994,192,1994-07-11,"0",23.2
"205","TB",1995,206,1995-07-25,"1.75",181.4
"206","TB",1996,176,1996-06-24,"0",80
"207","TB",1997,267,1997-09-24,"0",25
"208","TB",1998,279,1998-10-06,"0",108.4
"209","TB",1999,263,1999-09-20,"0",96
"210","TB",2000,264,2000-09-20,"0",148.4
"211","TB",2001,274,2001-10-01,"0",121.5
"212","TB",2002,267,2002-09-24,"0",145.4
"213","TB",2003,92,2003-04-02,"0",105.5
"214","TB",2004,21,2004-01-21,"0",94.1
"215","TB",2005,20,2005-01-20,"0",304.2
"216","TB",2006,12,2006-01-12,"0",133
"217","TB",2007,241,2007-08-29,"0",100.5
"218","TB",2008,267,2008-09-23,"0",379.6
"219","TB",2009,118,2009-04-28,"0",145.2
"220","TB",2010,257,2010-09-14,"0",26.1
"221","TB",2011,252,2011-09-09,"0",54.6
"222","TB",2012,234,2012-08-21,"0",42.9
"223","TB",2013,247,2013-09-04,"0",40.7
"224","TB",2014,24,2014-01-24,"0",191.3
"225","TB",2015,253,2015-09-10,"0",142.2
"226","TB",2016,272,2016-09-28,"0",999.9
"227","TB",2017,261,2017-09-18,"0",179
"228","TB",2018,87,2018-03-28,"0",118.3
"229","TR",1981,337,1981-12-03,"0",11.6
"230","TR",1982,133,1982-05-13,"0",12.3
"231","TR",1983,334,1983-11-30,"0",7.7
"232","TR",1984,128,1984-05-07,"0",6.8
"233","TR",1985,133,1985-05-13,"0",6.3
"234","TR",1986,322,1986-11-18,"0",5.2
"235","TR",1987,321,1987-11-17,"0",7
"236","TR",1988,119,1988-04-28,"0",7.3
"237","TR",1989,123,1989-05-03,"0",4.2
"238","TR",1990,16,1990-01-16,"0",6.3
"239","TR",1991,315,1991-11-11,"0",5.8
"240","TR",1992,140,1992-05-19,"0",6.4
"241","TR",1993,312,1993-11-08,"0",8.4
"242","TR",1994,94,1994-04-04,"0",8.3
"243","TR",1995,306,1995-11-02,"0",20
"244","TR",1996,289,1996-10-15,"0",5.1
"245","TR",1997,143,1997-05-23,"0",3.5
"246","TR",1998,16,1998-01-16,"0",6.7
"247","TR",1999,130,1999-05-10,"0",6.5
"248","TR",2000,122,2000-05-01,"0",6.9
"249","TR",2001,122,2001-05-02,"0",5.6
"250","TR",2002,296,2002-10-23,"0",4.6
"251","TR",2003,93,2003-04-03,"0",6.9
"252","TR",2004,147,2004-05-26,"0",5.9
"253","TR",2005,123,2005-05-03,"0",8.2
"254","TR",2006,125,2006-05-05,"0",7.6
"255","TR",2007,116,2007-04-26,"0",5.9
"256","TR",2008,133,2008-05-12,"0",3.8
"257","TR",2009,131,2009-05-11,"0",3.9
"258","TR",2010,256,2010-09-13,"0",6.1
"259","TR",2011,153,2011-06-02,"0",3.3
"260","TR",2012,135,2012-05-14,"0",5.1
"261","TR",2013,136,2013-05-16,"0",3.2
"262","TR",2014,142,2014-05-22,"0",4.5
"263","TR",2015,127,2015-05-07,"0",3.5
"264","TR",2016,301,2016-10-27,"0",6.1
"265","TR",2017,111,2017-04-21,"0",5.3
"266","TR",2018,137,2018-05-17,"0",5.2
"267","FI",1999,243,1999-08-31,"0-2",13.7
"268","FI",2000,27,2000-01-27,"0-2",6.7
"269","FI",2001,143,2001-05-23,"0-2",42.1
"270","FI",2002,100,2002-04-10,"0-2",8.6
"271","FI",2005,122,2005-05-02,"0-2",14.1
"272","FI",2006,235,2006-08-23,"0-2",9
"273","FI",2007,264,2007-09-21,"0-2",11.2
"274","FI",2008,123,2008-05-02,"0-2",17.8
"275","FI",2009,230,2009-08-18,"0-2",16.6
"276","FI",2010,50,2010-02-19,"0-2",41.7
"277","FI",2011,257,2011-09-14,"0-2",18
"278","FI",2012,222,2012-08-09,"0-2",30.4
"279","FI",2013,255,2013-09-12,"0-2",20.5
"280","FI",2014,133,2014-05-13,"0-2",35.3
"281","FI",2015,308,2015-11-04,"0-2",60.1
"282","FI",2016,245,2016-09-01,"0-2",34.7
"283","FI",2017,234,2017-08-22,"0-2",7.7
"284","FI",2018,115,2018-04-25,"0-2",12.4
"285","ME",1999,214,1999-08-02,"0-2",16.8
"286","ME",2000,241,2000-08-28,"0-2",23.8
"287","ME",2001,183,2001-07-02,"0-2",34.7
"288","ME",2002,87,2002-03-28,"0-2",14.2
"289","ME",2005,186,2005-07-05,"0-2",16.1
"290","ME",2006,150,2006-05-30,"0-2",9.9
"291","ME",2007,106,2007-04-16,"0-2",17
"292","ME",2008,105,2008-04-14,"0-2",25.3
"293","ME",2009,201,2009-07-20,"0-2",31.3
"294","ME",2010,88,2010-03-29,"0-2",60
"295","ME",2011,108,2011-04-18,"0-2",27.7
"296","ME",2012,81,2012-03-21,"0-2",28.1
"297","ME",2013,203,2013-07-22,"0-2",29.3
"298","ME",2014,134,2014-05-14,"0-2",34.3
"299","ME",2015,133,2015-05-13,"0-2",40.5
"300","ME",2016,116,2016-04-25,"0-2",24.4
"301","ME",2017,107,2017-04-17,"0-2",70
"302","ME",2018,127,2018-05-07,"0-2",109.8
"303","MO",1999,242,1999-08-30,"0-2",24.3
"304","MO",2000,214,2000-08-01,"0-2",31.6
"305","MO",2001,239,2001-08-27,"0-2",23
"306","MO",2002,100,2002-04-10,"0-2",6.4
"307","MO",2005,108,2005-04-18,"0-2",19.5
"308","MO",2006,277,2006-10-04,"0-2",15.9
"309","MO",2007,93,2007-04-03,"0-2",28.4
"310","MO",2008,203,2008-07-21,"0-2",17.6
"311","MO",2009,247,2009-09-04,"0-2",20.2
"312","MO",2010,102,2010-04-12,"0-2",97.5
"313","MO",2011,277,2011-10-04,"0-2",66.8
"314","MO",2012,276,2012-10-02,"0-2",40.4
"315","MO",2013,127,2013-05-07,"0-2",39.7
"316","MO",2014,309,2014-11-05,"0-2",22.2
"317","MO",2015,104,2015-04-14,"0-2",23.2
"318","MO",2016,117,2016-04-26,"0-2",25.9
"319","MO",2017,220,2017-08-08,"0-2",17.2
"320","MO",2018,24,2018-01-24,"0-2",38.3
"321","WI",1999,215,1999-08-03,"0-2",28.1
"322","WI",2000,214,2000-08-01,"0-2",28.9
"323","WI",2001,298,2001-10-25,"0-2",55
"324","WI",2002,85,2002-03-26,"0-2",20.1
"325","WI",2005,101,2005-04-11,"0-2",43.3
"326","WI",2006,257,2006-09-14,"0-2",35.2
"327","WI",2007,93,2007-04-03,"0-2",19.5
"328","WI",2008,106,2008-04-15,"0-2",20
"329","WI",2009,202,2009-07-21,"0-2",17.7
"330","WI",2010,229,2010-08-17,"0-2",41.3
"331","WI",2011,222,2011-08-10,"0-2",23.3
"332","WI",2012,206,2012-07-24,"0-2",22.2
"333","WI",2013,203,2013-07-22,"0-2",40.4
"334","WI",2014,251,2014-09-08,"0-2",22.3
"335","WI",2015,90,2015-03-31,"0-2",26.9
"336","WI",2016,306,2016-11-01,"0-2",69.7
"337","WI",2017,221,2017-08-09,"0-2",71.4
"338","WI",2018,249,2018-09-06,"0-2",51.2
